size,First,Last,Middle,Random
3480,1435.53,2425.85,21.2796,100.111
3490,1473.77,2493.47,22.5216,101.172
3500,1453.77,2454.59,22.0166,101.67
3510,1473.35,2488.23,21.8716,102.336
3520,1466.22,2479.41,21.6306,101.535
3530,1480.27,2492.96,22.0697,101.507
3540,1471.69,2506.88,21.7696,101.597
3550,1512.53,2522.04,22.1056,102.288
3560,1500.09,2534.83,22.1327,102.428
3570,1497.13,2593.43,22.5423,102.931
3580,1518.29,2564.66,21.9897,102.809
3590,1525.42,2588.17,22.3271,103.374
3600,1540.19,2605.72,22.2621,104.235
3610,1566.36,2606.57,22.5157,103.926
3620,1578.43,2620.62,22.6227,103.924
3630,1568.6,2637.05,22.5711,104.367
3640,1566.2,2652.98,22.6827,104.305
3650,1595.05,2665.18,22.6633,105.863
3660,1592.84,2681.38,22.8277,105.847
3670,1619.33,2692.48,22.9911,106.319
3680,1630.6,2706.53,22.6976,104.601
3690,1624.11,2722.47,23.1441,107.393
3700,1645.82,2737.86,23.4801,106.974
3710,1645.48,2753.97,23.3321,107.266
3720,1607.21,2767.91,23.0922,106.798
3730,1642.8,2782.59,23.3626,107.991
3740,1684.3,2799.11,23.3507,106.524
3750,1679.33,2811.88,23.4021,106.69
3760,1706.77,2826.78,23.4206,109.267
3770,1691.99,2844.49,23.7856,109.733
3780,1702.94,2859.16,23.8262,109.886
3790,1711.21,2875.03,23.834,109.999
3800,1688.43,2888.56,23.6322,110.049
3810,1740.39,2905.4,23.8921,110.292
3820,1731.73,2929.91,24.0626,110.885
3830,1769.17,2932.74,24.0737,110.798
3840,1745.44,2950.17,24.1338,110.414
3850,1757.5,2963.78,24.0546,111.512
3860,1781.17,2980.76,24.1621,110.5
3870,1790.27,2995.98,24.1052,112.178
3880,1787.21,3010.33,24.0842,111.364
3890,1798.98,3028.28,25.1676,111.448
3900,1836.12,3038.93,24.3287,112.209
3910,1905.03,3156.66,26.7916,115.703
3920,1809.79,3073.09,24.4102,111.436
3930,1798.66,3085.78,23.7652,110.75
3940,1812.87,3101.3,24.1502,111.852
3950,1845.7,3117.13,24.1286,112.661
3960,1878.62,3133.8,24.4561,113.242
3970,1874.19,3149.04,24.2311,111.872
3980,1893.64,3164.19,24.2997,113.752
3990,1950.1,3244.2,27.8107,120.386
4000,1913.12,3201.3,25.2537,116.227
4010,2101.86,3639.02,29.9868,123.347
4020,1906.29,3233.27,24.8492,115.882
4030,1910.67,3258,24.3747,114.893
4040,1946.53,3264.34,24.623,115.39
4050,1935.79,3282.53,24.5471,115.602
4060,1970.73,3359.82,26.8533,119.303
4070,1956.95,3309.03,24.8716,115.442
4080,1977.13,3329.82,25.9522,118.952
4090,1978.61,3354.91,25.0402,116.719
4100,1990.42,3389.92,26.9377,119.644
4110,1993.78,3390.9,25.8036,116.574
4120,2005.66,3405.9,25.7376,117.902
4130,2020.87,3411.23,25.4584,118.838
4140,2026.31,3425.05,25.3027,118.59
4150,2073.31,3477.8,26.5531,120.157
4160,2029.09,3457.02,25.5387,120.238
4170,2081.28,3474.53,25.6383,120.161
4180,2063.47,3490.13,25.5527,119.024
4190,2079.44,3534.48,26.3802,120.44
4200,2095.35,3524.51,25.9605,120.24
4210,2096.72,3575.4,25.7143,120.292
4220,2162.96,3561.85,26.2947,122.046
4230,2162.57,3574.8,26.2852,120.243
4240,2141.18,3591.49,25.9026,120.554
4250,2148.76,3607.86,25.8823,121.795
4260,2167.11,3627.68,26.4518,122.928
4270,2213.14,3652.03,26.4286,122.367
4280,2162.44,3659.24,26.5227,123.993
4290,2185.16,3675.47,26.6952,124.021
4300,2159.93,3705.18,26.4678,121.884
4310,2197.23,3721.85,26.4897,124.086
4320,2217.86,3726.85,26.3442,122.231
4330,2251.85,3744.74,26.3246,122.259
4340,2258.73,3763.25,26.5232,123.586
4350,2208.29,3777.92,26.7466,123.681
4360,2262.54,3803.09,27.9317,125.869
4370,2250.59,3814.58,26.7666,124.481
4380,2335.89,3830.27,26.7572,124.518
4390,2271.53,3849.36,26.8197,124.342
4400,2285.23,3866.13,26.8906,124.322
4410,2301.95,3884.37,27.1417,124.665
4420,2321.35,3901.15,27.2312,126.878
4430,2301.4,3918.32,27.1151,126.016
4440,2337.82,3944.09,28.3182,128.502
4450,2344.91,3953.48,27.6381,128.005
4460,2347.52,3985.02,27.7247,127.449
4470,2341.84,3990.47,28.0847,127.981
4480,2360.37,4007.72,27.2557,127.48
4490,2348.33,4025.55,27.6427,126.249
4500,2360.37,4044.85,27.7436,128.503
4510,2413.29,4065.8,28.0052,128.36
4520,2376.37,4078.4,27.8198,128.397
4530,2392.19,4097.55,27.8836,128.943
4540,2424.81,4126.43,27.7443,129.399
4550,2421.34,4135,27.9198,130.134
4560,2432.77,4152.16,28.0426,130.554
4570,2530.28,4169,27.9371,130.3
4580,2481.05,4190.86,27.8772,129.5
4590,2501.76,4215.13,27.9576,130.553
4600,2505.67,4225.24,27.9591,131.446
4610,2500.7,4244.43,27.9862,130.318
4620,2554.93,4264.22,27.9847,131.311
4630,2511.73,4280.67,28.3142,131.377
4640,2532.9,4300.55,28.2042,131.42
4650,2535.08,4316.48,28.2952,132.951
4660,2535.44,4354.88,28.9606,133.933
4670,2563.98,4354.65,28.4208,133.54
4680,2675.26,4371.84,28.4291,133.188
4690,2585.14,4406.8,28.568,133.57
4700,2611.67,4409.25,28.5981,134.684
4710,2614.99,4427.77,28.9152,133.706
4720,2609.38,4451.4,28.7681,134.287
4730,2682.85,4470.31,29.5057,135.955
4740,2631.08,4483.72,29.0902,135.748
4750,2631.46,4502.99,29.2567,136.992
4760,2655.09,4535.72,30.2263,136.411
4770,2680.19,4542.45,29.4676,135.768
4780,2682.32,4561.72,29.6082,137.141
4790,2682.46,4582.62,29.6384,136.847
4800,2704.64,4599.95,29.7492,136.088
4810,2720.25,4619.17,29.5537,135.229
4820,2772.27,4640.92,29.6808,139.977
4830,2739.93,4658.43,29.7562,135.846
4840,2725.4,4675.24,29.9192,138.159
4850,2805.03,4694,29.6587,139.118
4860,2752.89,4718.55,30.7422,140.076
4870,2811.38,4737.64,30.6238,139.679
4880,2788.1,4754.24,30.7043,139.494
4890,2824.23,4783.99,29.9988,139.594
4900,2836.96,4792.14,30.0812,141.155
4910,2856.42,4811.87,30.0673,141.435
4920,2849.12,4831.26,30.1615,141.213
4930,2835.15,4852.77,31.045,140.852
4940,2897.32,4870.61,30.8737,141.555
4950,2901.06,4890.31,30.4577,142.918
4960,2963.26,4922.17,30.4251,142.103
4970,2879.4,4930.29,30.5312,141.756
4980,2907.23,4951.51,30.5206,142.505
4990,2906.58,4973.83,31.5372,143.658
5000,2935.06,4991.21,31.2183,144.241
