size,First,Last,Middle,Random
3290,1097.27,2170.22,19.7451,89.5995
3300,1104.27,2181.11,19.5887,90.2623
3310,1109.01,2193.33,20.1687,90.6746
3320,1115.21,2204.06,19.6366,90.0746
3330,1121.64,2217.37,19.9096,90.323
3340,1129.11,2230.38,19.664,90.8396
3350,1135.34,2244.07,19.7341,90.5101
3360,1154.4,2257,19.9962,91.349
3370,1149.05,2271.62,19.8791,91.0369
3380,1155.46,2284.76,19.93,91.9666
3390,1162.71,2298.06,19.9578,92.4351
3400,1295.67,2318.27,21.2172,94.3876
3410,1176.21,2325.98,20.3581,93.0396
3420,1183.14,2338.35,20.7556,92.7746
3430,1190.08,2375.69,20.2686,92.095
3440,1196.35,2366.44,20.4412,94.0261
3450,1205.49,2380.95,20.6295,93.2605
3460,1210.56,2393.83,20.4487,94.2281
3470,1217.25,2407.91,20.7526,94.0936
3480,1224.49,2422.67,20.5632,94.621
3490,1231.01,2435.89,20.8612,94.4511
3500,1238.36,2460.83,20.8432,95.2545
3510,1245.28,2462.45,20.8366,95.1937
3520,1252.21,2476.69,20.8592,95.558
3530,1259.19,2491.41,20.8917,95.6195
3540,1266.15,2505.22,20.9986,96.0686
3550,1273.64,2519.67,20.9306,96.3151
3560,1281.39,2533.14,21.0727,96.7237
3570,1288.37,2548.58,21.2467,96.8981
3580,1298.29,2566.91,22.2065,97.7882
3590,1304.55,2574.05,21.5307,96.7516
3600,1311.17,2589.52,21.6836,97.9206
3610,1316.52,2604.93,21.6636,97.9306
3620,1323.87,2618.42,21.7063,98.3446
3630,1331.16,2646.19,21.7291,98.109
3640,1338.36,2648.01,21.6585,98.4122
3650,1346.04,2662.54,21.8483,98.9661
3660,1353.62,2677.35,21.8326,99.8002
3670,1360.13,2692.04,21.8218,100.021
3680,1367.83,2706.83,21.8386,100.188
3690,1375.53,2721.77,21.9871,100.703
3700,1389.46,2737.31,22.6335,101.397
3710,1398.46,2762.74,24.1116,103.807
3720,1403.73,2773.32,24.2217,104.313
3730,1487.45,2798.23,23.9416,104.652
3740,1412.92,2797.99,23.1981,103.511
3750,1422.55,2827.58,23.1532,103.135
3760,1428.62,2829.02,23.0546,103.518
3770,1445.24,2858.3,23.8038,104.948
3780,1444.93,2860.34,23.6606,104.377
3790,1457.93,2876.95,23.4282,104.406
3800,1464.77,2909.05,23.5057,105.578
3810,1474.55,2917.35,24.187,106.988
3820,1475.99,2920.06,23.6071,105.505
3830,1483.91,2933.6,23.5717,105.434
3840,1489.23,2975.89,24.2182,106.349
3850,1498.17,2963.99,23.3596,105.719
3860,1583.13,2991.35,23.7247,105.932
3870,1512.69,2995.86,23.3602,105.615
3880,1524.03,3022.11,24.2817,107.754
3890,1606.65,3036.93,25.2172,109.296
3900,1550.56,3057.51,24.1011,107.724
3910,1569.16,3109.18,25.5256,109.44
3920,1565.27,3106.23,26.0496,111.175
3930,1566.36,3099.74,25.4095,110.342
3940,1585.92,3119.98,25.6157,110.33
3950,1654.45,3127.52,25.3871,110.4
3960,1745.65,3138.99,25.4767,110.881
3970,1594.94,3168.66,25.2577,110.745
3980,1605.07,3170.63,25.3366,111.546
3990,1618.52,3197.84,26.3067,112.09
4000,1624.64,3204.77,26.0166,111.164
4010,1654.55,3240.13,25.7507,111.829
4020,1639.06,3235.4,25.3486,112.052
4030,1643.62,3247.64,26.3162,113.277
4040,1733.12,3268,25.8983,112.353
4050,1658.62,3283.19,25.8016,113.52
4060,1668.16,3303.36,26.0901,113.271
4070,1673.83,3330.58,25.8576,113.967
4080,1684.67,3334.05,25.7951,113.896
4090,1696.53,3359.92,26.8941,116.254
4100,1703.99,3365.78,26.0831,114.392
4110,1858.81,3510.71,28.1428,117.963
4120,1810.78,3408.94,26.8254,115.21
4130,1721.88,3413.93,26.4132,115.546
4140,1729.4,3430.91,26.4577,115.806
4150,1742.19,3444.02,26.2891,115.756
4160,1747.49,3462.81,26.3106,116.228
4170,1767.96,3479.1,26.9596,115.696
4180,1861.86,3501.62,27.5363,117.712
4190,1778.92,3517.35,27.3283,118.1
4200,1807.04,3534.43,27.3737,117.207
4210,1839.57,3550.05,27.5332,119.69
4220,1801.56,3563.32,27.8757,119.656
4230,1810.28,3576.65,27.5066,117.947
4240,1816.25,3593.57,27.3168,118.175
4250,1822.87,3609.63,26.4131,117.106
4260,1828.86,3638.41,26.2017,116.645
4270,1836.9,3643.13,26.6264,117.188
4280,1847.87,3664.47,26.8767,117.905
4290,1873.65,3680.2,26.8741,117.72
4300,1865.91,3693.03,26.6921,119.626
4310,1871.85,3710.16,26.4626,117.987
4320,1883.8,3730.84,26.8797,118.594
4330,1889.35,3746.35,26.8686,118.967
4340,1905.7,3775.62,27.1082,122.25
4350,1914.24,3791.16,27.2342,121.365
4360,1921.76,3809.02,27.6221,120.955
4370,1936.08,3826.26,27.2996,120.682
4380,2036.43,3841.34,27.2281,121.135
4390,1947.64,3863.96,27.7103,120.282
4400,1960.83,3875.94,28.0852,123.799
4410,1958.23,3888.04,27.2447,123.374
4420,1967.34,3904.01,27.4938,121.349
4430,1977.73,3931.53,27.4614,120.615
4440,2181.53,3942.3,28.0237,122.348
4450,1995.98,3958.33,27.4442,122.23
4460,2003.69,3973.19,27.4542,122.597
4470,2017.68,3991.97,28.0602,123.382
4480,2164.33,4101.86,31.1482,127.965
4490,2131.33,4134.05,31.7466,130.458
4500,2069.33,4094.82,28.9992,125.681
4510,2054.4,4062.73,28.0051,124.422
4520,2077.91,4106.02,29.0672,126.376
4530,2177.14,4127.69,29.5721,127.676
4540,2161.89,4219.78,30.4496,128.978
4550,2107.55,4150.34,30.4458,129.669
4560,2110.16,4170.19,29.5142,128.247
4570,2105.61,4180.14,29.5911,127.707
4580,2210.49,4228.44,30.3516,130.519
4590,2243.29,4377.95,31.4276,130.082
4600,2141.86,4259.08,30.4471,131.328
4610,2160.94,4260.86,29.4162,128.14
4620,2261.8,4269.54,29.7612,130.136
4630,2163.69,4291.06,30.1473,131.042
4640,2283.23,4329.96,30.0832,129.349
4650,2220.64,4325.32,29.4489,128.917
4660,2194.41,4354.81,29.4662,128.391
4670,2207.83,4374.05,29.8951,129.903
4680,2205.38,4377.81,29.3734,129.37
4690,2215.72,4394.32,28.811,128.376
4700,2223.45,4410.99,28.8582,128.598
4710,2235.29,4428.22,28.5603,128.996
4720,2241.87,4445.8,29.0688,129.172
4730,2250.92,4465.26,28.6987,129.444
4740,2260.99,4485.12,28.8742,129.481
4750,2270.31,4515.72,29.0542,130.543
4760,2279.88,4521.99,29.1354,130.283
4770,2288.87,4542.61,29.0033,130.01
4780,2298.75,4559.75,29.1117,130.146
4790,2308.05,4579.5,29.1971,130.415
4800,2317.78,4597.81,29.1702,131.665
4810,2328.56,4623.38,29.3833,131.506
4820,2337.62,4648.41,29.3087,131.528
4830,2347.31,4659.83,30.6572,132.719
4840,2360.25,4702.46,29.7833,132.621
4850,2385.62,4699.25,31.1147,136.919
4860,2392.31,4746.39,32.0214,136.04
4870,2400.3,4756.07,31.193,136.404
4880,2398.11,4771.76,31.0436,135.947
4890,2412.54,4811.81,31.3084,136.746
4900,2568.83,4835.67,32.1237,138.949
4910,2431.54,4815.82,31.3582,137.945
4920,2438.91,4878.54,32.0533,138.23
4930,2459.4,4853.35,31.2372,137.354
4940,2456.76,4872.86,31.2277,137.239
4950,2587.58,4891.69,31.2967,137.635
4960,2493.9,4941.04,31.6062,138.205
4970,2626.09,5050.49,34.6622,143.582
4980,2500.8,4958.76,31.1112,137.037
4990,2509.57,4975.78,31.2463,139.276
5000,2517.66,5000.88,31.0986,138.151
