size,First,Last,Middle,Random
3810,126.576,110.104,143.886,179.362
3820,126.457,109.434,144.548,179.518
3830,127.544,110.555,145.124,181.328
3840,127.544,111.446,145.936,181.459
3850,127.776,111.581,145.784,182.254
3860,128.204,111.307,146.22,181.817
3870,128.556,111.39,146.59,182.84
3880,129.047,112.3,146.795,182.767
3890,129.373,112.835,147.662,183.252
3900,130.296,112.893,148.013,183.843
3910,130.277,113.683,148.102,184.886
3920,130.544,113.534,148.585,185.386
3930,129.828,113.42,149.133,186.08
3940,130.848,114.145,148.768,185.777
3950,131.245,113.909,150.051,186.924
3960,133.089,115.68,151.202,189.288
3970,134.155,117.64,155.003,191.994
3980,134.213,116.571,153.452,191.245
3990,133.739,118.556,153.439,188.695
4000,137.218,119.226,154.218,194.136
4010,133.519,116.178,152.564,189.024
4020,140.825,123.705,161.318,200.831
4030,135.127,116.689,154.121,191.386
4040,136.442,117.845,155.281,193.166
4050,137.02,119.016,156.477,194.362
4060,137.954,121.07,157.935,196
4070,138.029,119.65,156.943,196.309
4080,139.289,120.612,158.697,196.64
4090,138.617,119.455,157.074,194.965
4100,141.377,122.829,159.667,200.163
4110,145.053,127.569,166.554,207.886
4120,148.858,127.88,172.511,210.152
4130,143.838,125.6,163.513,203.307
4140,139.981,120.895,158.195,198.46
4150,140.723,122.961,160.305,199.747
4160,150.258,133.116,171.339,214.45
4170,151.245,131.231,167.875,212.868
4180,148.998,131.136,170.5,213.438
4190,155.144,133.979,177.088,221.124
4200,150.195,130.115,168.465,210.266
4210,141.46,123.246,160.55,199.692
4220,141.508,123.08,161.932,200.638
4230,142.668,123.647,162.943,202.198
4240,142.651,122.997,162.886,201.06
4250,142.158,123.424,162.187,201.886
4260,143.687,124.6,161.738,202.219
4270,143.368,125.615,164.13,203.577
4280,144.389,125.106,163.615,204.199
4290,144.519,125.716,163.895,203.316
4300,144.85,124.93,164.975,203.412
4310,144.51,126.316,164.96,205.972
4320,145.076,126.5,165.038,205.83
4330,146.111,126.675,166.242,205.013
4340,145.817,128.217,166.302,206.484
4350,146.628,128.818,165.496,207.733
4360,146.691,127.762,166.656,208.788
4370,146.641,128.452,167.172,209.863
4380,148.068,128.5,169.784,208.773
4390,147.546,129.507,167.371,209.895
4400,149.306,128.969,168.505,209.542
4410,148.666,129.455,169.338,210.934
4420,150.198,129.742,170.325,211.683
4430,150.135,131.111,170.031,210.635
4440,148.582,129.945,170.494,212.626
4450,149.117,131.706,171.783,211.517
4460,150.795,130.791,171.005,212.516
4470,150.66,131.065,171.887,212.351
4480,151.792,131.59,171.991,213.544
4490,152.643,132.527,173.014,214.861
4500,153.365,133.078,172.459,214.98
4510,173.376,152.055,192.44,241.588
4520,190.757,167.129,209.59,266.667
4530,194.567,169.636,213.796,267.073
4540,194.636,170.324,212.834,270.348
4550,192.955,168.211,209.711,267.292
4560,172.182,150.379,190.681,238.733
4570,156.154,135.641,176.417,219.468
4580,154.969,135.007,177.214,219.226
4590,156.587,135.754,177.625,219.638
4600,156.211,136.385,177.597,219.954
4610,156.704,137.137,177.477,220.034
4620,157.315,136.147,178.744,221.438
4630,157.537,136.953,179.468,221.316
4640,159.288,137.073,179.484,221.929
4650,158.623,137.529,179.49,223.565
4660,158.362,137.956,180.034,222.948
4670,160.206,138.578,180.603,222.853
4680,159.825,138.168,180.181,224.075
4690,160.552,139.318,181.274,224.874
4700,160.208,139.334,181.393,225.113
4710,161.277,140.425,182.375,225.437
4720,161.268,140.513,183.687,226.966
4730,161.814,140.08,182.862,226.37
4740,161.929,140.559,183.501,227.059
4750,161.828,141.245,183.051,227.978
4760,163.011,141.795,193.007,228.133
4770,163.01,141.371,183.951,228.464
4780,164.057,142.645,184.427,229.751
4790,163.763,142.576,185.526,230.291
4800,163.735,142.57,185.986,230.594
4810,164.826,142.542,185.874,230.916
4820,165.49,143.963,186.66,230.831
4830,166.209,143.799,186.456,232.262
4840,166.754,143.289,187.194,232.61
4850,166.513,144.118,187.357,232.712
4860,165.195,143.214,187.536,233.875
4870,166.879,144.215,188.216,233.609
4880,166.145,145.388,189.248,234.612
4890,168.115,144.55,189.123,235.448
4900,168.018,145.523,190.481,234.948
4910,167.981,146.986,189.8,236.312
4920,169.177,147.258,192.108,237.264
4930,168.584,146.615,191.514,237.247
4940,168.63,147.217,191.748,237.902
4950,169.684,147.574,192.796,238.595
4960,169.446,147.651,192.312,237.851
4970,170.738,148.32,192.973,239.1
4980,171.608,149.13,194.278,240.104
4990,170.952,148.897,194.103,239.536
5000,171.179,149.514,195.21,240.325
